Tinggi (cm),Berat (kg),Tingkat Aktivitas,Tujuan,Kategori,Durasi (menit),Kalori Terbakar,Umur,Jenis Kelamin,Rekomendasi Olahraga
183,90,Sedang,Penurunan Berat Badan,Kardio,58,443,49,Wanita,Lari
193,66,Sedang,Penurunan Berat Badan,Kekuatan,56,607,59,Pria,Angkat Beban
143,52,Rendah,Peningkatan Massa Otot,Kardio,34,682,40,Wanita,Bersepeda
161,63,Tinggi,Peningkatan Massa Otot,Kardio,67,325,41,Wanita,Bersepeda
155,54,Tinggi,Peningkatan Massa Otot,Kekuatan,41,515,59,Pria,Angkat Beban
186,54,Rendah,Penurunan Berat Badan,Fleksibilitas,35,603,25,Wanita,Senam
167,47,Sedang,Pemeliharaan Kebugaran,Kardio,32,298,57,Pria,Bersepeda
180,88,Sedang,Peningkatan Massa Otot,Kardio,37,375,52,Wanita,Bersepeda
149,114,Tinggi,Penurunan Berat Badan,Kekuatan,76,225,56,Wanita,Angkat Beban
174,86,Rendah,Peningkatan Massa Otot,Kardio,73,477,42,Pria,Bersepeda
192,48,Tinggi,Peningkatan Massa Otot,Kekuatan,53,314,31,Pria,Angkat Beban
195,107,Sedang,Penurunan Berat Badan,Fleksibilitas,74,312,35,Wanita,Senam
167,120,Sedang,Pemeliharaan Kebugaran,Kardio,45,346,63,Wanita,Bersepeda
143,42,Sedang,Pemeliharaan Kebugaran,Kardio,65,584,54,Pria,Bersepeda
188,98,Sedang,Peningkatan Massa Otot,Kardio,36,585,53,Wanita,Bersepeda
184,52,Tinggi,Penurunan Berat Badan,Kardio,43,294,34,Pria,Lari
176,119,Tinggi,Peningkatan Massa Otot,Fleksibilitas,85,182,64,Pria,Senam
200,53,Tinggi,Pemeliharaan Kebugaran,Kekuatan,79,506,36,Pria,Angkat Beban
184,101,Tinggi,Penurunan Berat Badan,Kardio,48,256,43,Pria,Lari
197,44,Rendah,Penurunan Berat Badan,Fleksibilitas,52,661,44,Wanita,Senam
185,99,Tinggi,Peningkatan Massa Otot,Kekuatan,68,162,30,Pria,Angkat Beban
200,73,Sedang,Penurunan Berat Badan,Kardio,81,503,21,Pria,Lari
181,84,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,63,201,45,Wanita,Senam
146,49,Sedang,Penurunan Berat Badan,Kardio,32,250,60,Wanita,Lari
155,95,Rendah,Peningkatan Massa Otot,Kardio,77,283,20,Wanita,Bersepeda
181,85,Sedang,Penurunan Berat Badan,Kekuatan,50,270,48,Pria,Angkat Beban
171,120,Rendah,Peningkatan Massa Otot,Fleksibilitas,72,233,59,Pria,Senam
172,46,Rendah,Pemeliharaan Kebugaran,Kardio,71,173,30,Pria,Bersepeda
153,59,Sedang,Penurunan Berat Badan,Fleksibilitas,76,208,35,Wanita,Senam
192,65,Rendah,Penurunan Berat Badan,Kardio,72,571,62,Pria,Lari
182,105,Tinggi,Pemeliharaan Kebugaran,Kardio,61,685,45,Pria,Bersepeda
169,56,Sedang,Pemeliharaan Kebugaran,Kardio,65,510,18,Pria,Bersepeda
186,107,Rendah,Peningkatan Massa Otot,Fleksibilitas,56,637,61,Wanita,Senam
180,54,Tinggi,Penurunan Berat Badan,Kardio,58,454,57,Pria,Lari
176,78,Rendah,Pemeliharaan Kebugaran,Kekuatan,33,207,30,Pria,Angkat Beban
142,70,Sedang,Peningkatan Massa Otot,Kekuatan,31,269,65,Pria,Angkat Beban
163,42,Sedang,Peningkatan Massa Otot,Fleksibilitas,36,460,30,Wanita,Senam
197,86,Tinggi,Penurunan Berat Badan,Fleksibilitas,40,547,37,Wanita,Senam
143,83,Tinggi,Peningkatan Massa Otot,Kekuatan,60,372,59,Wanita,Angkat Beban
150,72,Rendah,Penurunan Berat Badan,Kardio,36,658,37,Wanita,Lari
161,93,Tinggi,Penurunan Berat Badan,Fleksibilitas,40,150,46,Wanita,Senam
144,85,Sedang,Peningkatan Massa Otot,Fleksibilitas,54,347,65,Pria,Senam
200,57,Rendah,Penurunan Berat Badan,Kekuatan,66,364,40,Pria,Angkat Beban
140,89,Sedang,Peningkatan Massa Otot,Kekuatan,43,533,41,Pria,Angkat Beban
191,56,Rendah,Peningkatan Massa Otot,Kekuatan,41,293,57,Wanita,Angkat Beban
185,113,Rendah,Peningkatan Massa Otot,Kardio,64,546,31,Wanita,Bersepeda
172,103,Sedang,Pemeliharaan Kebugaran,Kekuatan,80,615,29,Pria,Angkat Beban
185,63,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,85,210,39,Pria,Senam
163,100,Rendah,Penurunan Berat Badan,Kekuatan,90,308,42,Wanita,Angkat Beban
179,91,Sedang,Pemeliharaan Kebugaran,Kardio,90,527,61,Wanita,Bersepeda
196,62,Sedang,Peningkatan Massa Otot,Kardio,84,296,41,Pria,Bersepeda
141,58,Rendah,Penurunan Berat Badan,Kekuatan,67,371,35,Pria,Angkat Beban
149,63,Rendah,Peningkatan Massa Otot,Kekuatan,82,221,23,Wanita,Angkat Beban
152,103,Rendah,Peningkatan Massa Otot,Kardio,75,509,47,Pria,Bersepeda
159,56,Rendah,Peningkatan Massa Otot,Fleksibilitas,80,302,36,Pria,Senam
178,96,Sedang,Peningkatan Massa Otot,Fleksibilitas,32,157,31,Wanita,Senam
148,104,Rendah,Peningkatan Massa Otot,Fleksibilitas,53,186,22,Wanita,Senam
155,55,Sedang,Peningkatan Massa Otot,Kekuatan,30,405,37,Wanita,Angkat Beban
197,99,Rendah,Penurunan Berat Badan,Fleksibilitas,41,321,25,Pria,Senam
150,119,Rendah,Peningkatan Massa Otot,Kekuatan,76,362,60,Wanita,Angkat Beban
170,114,Sedang,Pemeliharaan Kebugaran,Kekuatan,72,152,50,Pria,Angkat Beban
197,115,Sedang,Peningkatan Massa Otot,Fleksibilitas,73,693,48,Wanita,Senam
178,116,Rendah,Pemeliharaan Kebugaran,Kardio,46,507,65,Pria,Bersepeda
180,87,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,42,482,57,Pria,Senam
169,100,Rendah,Pemeliharaan Kebugaran,Kekuatan,84,432,43,Pria,Angkat Beban
185,44,Tinggi,Pemeliharaan Kebugaran,Kekuatan,60,586,64,Pria,Angkat Beban
195,65,Sedang,Penurunan Berat Badan,Kekuatan,58,534,58,Wanita,Angkat Beban
188,87,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,40,472,35,Pria,Senam
170,119,Tinggi,Pemeliharaan Kebugaran,Kardio,63,332,57,Wanita,Bersepeda
171,58,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,79,660,35,Pria,Senam
159,109,Sedang,Peningkatan Massa Otot,Kekuatan,77,251,43,Wanita,Angkat Beban
163,94,Rendah,Peningkatan Massa Otot,Fleksibilitas,44,328,59,Wanita,Senam
189,60,Sedang,Penurunan Berat Badan,Kekuatan,30,577,25,Pria,Angkat Beban
178,51,Tinggi,Pemeliharaan Kebugaran,Kardio,40,210,61,Wanita,Bersepeda
143,61,Rendah,Penurunan Berat Badan,Fleksibilitas,69,409,39,Pria,Senam
194,43,Rendah,Peningkatan Massa Otot,Kardio,83,326,38,Wanita,Bersepeda
157,47,Tinggi,Penurunan Berat Badan,Kardio,35,268,20,Pria,Lari
193,87,Rendah,Peningkatan Massa Otot,Kekuatan,35,426,46,Pria,Angkat Beban
161,79,Tinggi,Peningkatan Massa Otot,Kardio,72,317,31,Pria,Bersepeda
200,85,Rendah,Peningkatan Massa Otot,Kardio,66,574,30,Wanita,Bersepeda
143,111,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,71,561,61,Pria,Senam
165,105,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,90,218,21,Pria,Senam
177,40,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,71,150,59,Wanita,Senam
200,98,Rendah,Penurunan Berat Badan,Fleksibilitas,39,481,20,Pria,Senam
157,96,Sedang,Peningkatan Massa Otot,Kekuatan,85,529,28,Pria,Angkat Beban
178,74,Rendah,Penurunan Berat Badan,Fleksibilitas,40,671,26,Wanita,Senam
166,86,Sedang,Penurunan Berat Badan,Kardio,74,634,64,Wanita,Lari
195,92,Sedang,Penurunan Berat Badan,Kardio,32,261,21,Pria,Lari
164,104,Rendah,Penurunan Berat Badan,Fleksibilitas,45,365,58,Wanita,Senam
193,116,Sedang,Pemeliharaan Kebugaran,Kekuatan,58,196,26,Wanita,Angkat Beban
159,87,Rendah,Pemeliharaan Kebugaran,Kardio,86,601,26,Wanita,Bersepeda
146,54,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,43,554,50,Wanita,Senam
197,107,Rendah,Peningkatan Massa Otot,Kardio,32,591,21,Wanita,Bersepeda
159,98,Sedang,Peningkatan Massa Otot,Fleksibilitas,83,286,33,Pria,Senam
165,64,Sedang,Penurunan Berat Badan,Fleksibilitas,56,275,43,Wanita,Senam
182,120,Tinggi,Pemeliharaan Kebugaran,Kardio,32,630,52,Wanita,Bersepeda
185,40,Tinggi,Peningkatan Massa Otot,Kekuatan,56,496,19,Pria,Angkat Beban
162,58,Sedang,Penurunan Berat Badan,Kardio,50,408,29,Wanita,Lari
179,78,Rendah,Peningkatan Massa Otot,Fleksibilitas,90,271,45,Pria,Senam
175,50,Rendah,Penurunan Berat Badan,Kardio,90,680,55,Pria,Lari
160,48,Rendah,Peningkatan Massa Otot,Fleksibilitas,76,534,50,Pria,Senam
183,41,Tinggi,Penurunan Berat Badan,Fleksibilitas,53,186,61,Pria,Senam
196,70,Rendah,Penurunan Berat Badan,Kardio,47,675,42,Wanita,Lari
200,60,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,60,539,39,Pria,Senam
200,106,Tinggi,Pemeliharaan Kebugaran,Kardio,68,252,46,Pria,Bersepeda
196,115,Tinggi,Pemeliharaan Kebugaran,Kardio,37,575,41,Pria,Bersepeda
150,55,Rendah,Peningkatan Massa Otot,Kardio,90,264,20,Wanita,Bersepeda
179,70,Rendah,Peningkatan Massa Otot,Kekuatan,39,222,38,Pria,Angkat Beban
179,90,Tinggi,Peningkatan Massa Otot,Fleksibilitas,45,641,59,Wanita,Senam
159,64,Rendah,Penurunan Berat Badan,Kekuatan,39,637,47,Wanita,Angkat Beban
190,106,Sedang,Penurunan Berat Badan,Kekuatan,73,510,22,Pria,Angkat Beban
168,80,Rendah,Penurunan Berat Badan,Kekuatan,42,403,42,Wanita,Angkat Beban
178,103,Sedang,Peningkatan Massa Otot,Kardio,62,365,60,Pria,Bersepeda
177,67,Rendah,Pemeliharaan Kebugaran,Kekuatan,34,642,56,Wanita,Angkat Beban
181,99,Sedang,Pemeliharaan Kebugaran,Kekuatan,43,568,23,Pria,Angkat Beban
174,42,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,45,573,61,Pria,Senam
157,52,Sedang,Pemeliharaan Kebugaran,Kekuatan,51,368,42,Wanita,Angkat Beban
196,51,Rendah,Penurunan Berat Badan,Kekuatan,48,395,33,Wanita,Angkat Beban
151,120,Tinggi,Pemeliharaan Kebugaran,Kekuatan,60,416,64,Wanita,Angkat Beban
162,90,Sedang,Penurunan Berat Badan,Kekuatan,56,661,18,Wanita,Angkat Beban
199,109,Sedang,Penurunan Berat Badan,Kardio,51,448,36,Wanita,Lari
176,51,Rendah,Penurunan Berat Badan,Fleksibilitas,73,689,61,Pria,Senam
177,111,Sedang,Penurunan Berat Badan,Fleksibilitas,86,294,32,Pria,Senam
196,58,Sedang,Peningkatan Massa Otot,Kardio,45,500,37,Wanita,Bersepeda
196,54,Tinggi,Peningkatan Massa Otot,Kekuatan,70,682,38,Wanita,Angkat Beban
154,110,Sedang,Pemeliharaan Kebugaran,Kardio,32,261,63,Pria,Bersepeda
198,120,Rendah,Peningkatan Massa Otot,Kardio,88,588,33,Pria,Bersepeda
195,65,Sedang,Pemeliharaan Kebugaran,Kardio,75,689,59,Pria,Bersepeda
172,59,Rendah,Penurunan Berat Badan,Kekuatan,59,414,24,Pria,Angkat Beban
200,48,Sedang,Pemeliharaan Kebugaran,Kekuatan,31,267,49,Pria,Angkat Beban
145,113,Tinggi,Penurunan Berat Badan,Kardio,61,275,19,Pria,Lari
196,86,Tinggi,Penurunan Berat Badan,Fleksibilitas,60,298,22,Pria,Senam
149,71,Sedang,Peningkatan Massa Otot,Fleksibilitas,74,192,65,Wanita,Senam
159,58,Rendah,Peningkatan Massa Otot,Fleksibilitas,30,479,28,Pria,Senam
145,107,Rendah,Peningkatan Massa Otot,Kekuatan,42,173,28,Wanita,Angkat Beban
199,80,Sedang,Penurunan Berat Badan,Kardio,56,262,61,Pria,Lari
178,105,Tinggi,Penurunan Berat Badan,Fleksibilitas,38,657,41,Pria,Senam
183,68,Sedang,Penurunan Berat Badan,Kekuatan,50,647,54,Wanita,Angkat Beban
140,43,Rendah,Peningkatan Massa Otot,Fleksibilitas,63,188,46,Pria,Senam
145,101,Sedang,Peningkatan Massa Otot,Kardio,46,505,36,Wanita,Bersepeda
188,90,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,71,526,22,Pria,Senam
140,91,Tinggi,Peningkatan Massa Otot,Kekuatan,44,175,59,Pria,Angkat Beban
198,102,Sedang,Penurunan Berat Badan,Kekuatan,57,472,33,Pria,Angkat Beban
172,104,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,80,233,18,Wanita,Senam
196,62,Tinggi,Peningkatan Massa Otot,Fleksibilitas,30,595,18,Wanita,Senam
159,69,Sedang,Penurunan Berat Badan,Kekuatan,33,552,52,Wanita,Angkat Beban
199,72,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,78,504,37,Wanita,Senam
143,113,Sedang,Peningkatan Massa Otot,Fleksibilitas,61,427,27,Wanita,Senam
182,80,Sedang,Pemeliharaan Kebugaran,Kardio,59,277,51,Pria,Bersepeda
199,97,Sedang,Peningkatan Massa Otot,Kardio,80,322,26,Pria,Bersepeda
190,81,Sedang,Penurunan Berat Badan,Fleksibilitas,36,554,65,Pria,Senam
160,54,Tinggi,Penurunan Berat Badan,Kardio,82,393,36,Wanita,Lari
177,89,Rendah,Peningkatan Massa Otot,Fleksibilitas,85,161,65,Wanita,Senam
183,117,Sedang,Peningkatan Massa Otot,Fleksibilitas,85,215,61,Wanita,Senam
195,103,Sedang,Penurunan Berat Badan,Kardio,45,492,48,Wanita,Lari
192,109,Tinggi,Peningkatan Massa Otot,Kekuatan,80,400,57,Wanita,Angkat Beban
149,43,Sedang,Peningkatan Massa Otot,Kekuatan,61,617,51,Wanita,Angkat Beban
188,77,Tinggi,Peningkatan Massa Otot,Fleksibilitas,33,495,20,Wanita,Senam
146,54,Rendah,Pemeliharaan Kebugaran,Kardio,41,400,55,Wanita,Bersepeda
164,60,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,69,184,29,Pria,Senam
171,94,Sedang,Penurunan Berat Badan,Kekuatan,75,507,57,Pria,Angkat Beban
191,56,Tinggi,Penurunan Berat Badan,Kekuatan,84,648,46,Pria,Angkat Beban
146,52,Sedang,Pemeliharaan Kebugaran,Kardio,59,264,48,Pria,Bersepeda
194,85,Tinggi,Penurunan Berat Badan,Kardio,54,681,47,Pria,Lari
176,46,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,69,419,59,Wanita,Senam
157,107,Rendah,Peningkatan Massa Otot,Fleksibilitas,69,623,31,Pria,Senam
177,80,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,39,166,23,Pria,Senam
176,90,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,46,236,58,Wanita,Senam
163,42,Rendah,Pemeliharaan Kebugaran,Kardio,52,441,18,Wanita,Bersepeda
144,82,Tinggi,Penurunan Berat Badan,Fleksibilitas,81,522,18,Pria,Senam
187,105,Tinggi,Pemeliharaan Kebugaran,Kardio,84,574,18,Wanita,Bersepeda
167,97,Sedang,Pemeliharaan Kebugaran,Kekuatan,31,345,22,Pria,Angkat Beban
145,115,Rendah,Peningkatan Massa Otot,Kardio,80,403,44,Pria,Bersepeda
152,54,Tinggi,Penurunan Berat Badan,Kekuatan,59,688,56,Pria,Angkat Beban
182,120,Tinggi,Peningkatan Massa Otot,Kekuatan,88,594,22,Pria,Angkat Beban
166,105,Tinggi,Penurunan Berat Badan,Fleksibilitas,67,591,45,Pria,Senam
142,60,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,86,655,22,Wanita,Senam
199,86,Tinggi,Penurunan Berat Badan,Kekuatan,75,291,22,Wanita,Angkat Beban
171,117,Tinggi,Peningkatan Massa Otot,Kekuatan,62,497,44,Wanita,Angkat Beban
172,46,Rendah,Pemeliharaan Kebugaran,Kardio,50,560,50,Pria,Bersepeda
181,99,Sedang,Pemeliharaan Kebugaran,Kardio,39,294,26,Pria,Bersepeda
161,56,Rendah,Peningkatan Massa Otot,Fleksibilitas,46,676,36,Wanita,Senam
187,62,Rendah,Peningkatan Massa Otot,Kekuatan,54,513,39,Pria,Angkat Beban
150,61,Sedang,Peningkatan Massa Otot,Fleksibilitas,36,513,48,Wanita,Senam
156,44,Tinggi,Penurunan Berat Badan,Kekuatan,59,494,35,Wanita,Angkat Beban
199,52,Tinggi,Pemeliharaan Kebugaran,Kardio,56,185,65,Wanita,Bersepeda
190,100,Sedang,Peningkatan Massa Otot,Kardio,42,690,31,Pria,Bersepeda
167,58,Sedang,Pemeliharaan Kebugaran,Kardio,41,521,60,Wanita,Bersepeda
191,82,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,68,528,22,Wanita,Senam
165,51,Rendah,Penurunan Berat Badan,Fleksibilitas,57,289,46,Pria,Senam
144,99,Rendah,Penurunan Berat Badan,Kardio,53,237,61,Pria,Lari
172,120,Sedang,Peningkatan Massa Otot,Fleksibilitas,30,421,49,Pria,Senam
184,108,Tinggi,Penurunan Berat Badan,Fleksibilitas,43,449,51,Wanita,Senam
180,106,Sedang,Pemeliharaan Kebugaran,Kardio,43,158,31,Wanita,Bersepeda
146,43,Rendah,Penurunan Berat Badan,Kardio,42,445,41,Pria,Lari
145,55,Rendah,Pemeliharaan Kebugaran,Kekuatan,74,539,39,Pria,Angkat Beban
153,64,Sedang,Pemeliharaan Kebugaran,Kekuatan,32,477,31,Wanita,Angkat Beban
165,120,Tinggi,Peningkatan Massa Otot,Kardio,67,460,30,Wanita,Bersepeda
151,96,Sedang,Pemeliharaan Kebugaran,Kardio,90,161,18,Wanita,Bersepeda
169,66,Rendah,Penurunan Berat Badan,Fleksibilitas,32,419,63,Wanita,Senam
148,68,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,71,207,32,Wanita,Senam
157,76,Rendah,Peningkatan Massa Otot,Fleksibilitas,37,519,33,Wanita,Senam
180,41,Rendah,Peningkatan Massa Otot,Fleksibilitas,34,316,56,Wanita,Senam
182,43,Tinggi,Penurunan Berat Badan,Kekuatan,82,455,64,Pria,Angkat Beban
180,119,Sedang,Peningkatan Massa Otot,Kekuatan,75,458,60,Wanita,Angkat Beban
187,58,Tinggi,Peningkatan Massa Otot,Kardio,72,525,40,Wanita,Bersepeda
180,73,Sedang,Pemeliharaan Kebugaran,Kekuatan,50,563,61,Pria,Angkat Beban
196,98,Tinggi,Penurunan Berat Badan,Fleksibilitas,86,298,39,Wanita,Senam
195,86,Sedang,Penurunan Berat Badan,Kekuatan,63,339,54,Pria,Angkat Beban
197,50,Tinggi,Penurunan Berat Badan,Kekuatan,62,213,50,Pria,Angkat Beban
167,96,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,52,451,50,Pria,Senam
185,57,Tinggi,Penurunan Berat Badan,Kardio,56,411,22,Wanita,Lari
178,70,Tinggi,Peningkatan Massa Otot,Kardio,48,200,46,Pria,Bersepeda
165,86,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,74,243,30,Pria,Senam
153,51,Sedang,Pemeliharaan Kebugaran,Kardio,86,164,44,Pria,Bersepeda
165,46,Tinggi,Penurunan Berat Badan,Kekuatan,84,646,46,Wanita,Angkat Beban
170,93,Rendah,Penurunan Berat Badan,Kardio,37,431,44,Wanita,Lari
185,42,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,31,220,65,Pria,Senam
145,59,Rendah,Pemeliharaan Kebugaran,Kardio,90,326,61,Pria,Bersepeda
159,118,Sedang,Peningkatan Massa Otot,Kardio,30,492,52,Wanita,Bersepeda
149,98,Sedang,Penurunan Berat Badan,Kekuatan,45,405,56,Wanita,Angkat Beban
154,69,Rendah,Peningkatan Massa Otot,Kardio,51,337,30,Wanita,Bersepeda
192,53,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,60,315,37,Pria,Senam
188,51,Sedang,Pemeliharaan Kebugaran,Kardio,80,604,40,Pria,Bersepeda
165,99,Sedang,Pemeliharaan Kebugaran,Kardio,35,273,28,Pria,Bersepeda
197,58,Tinggi,Pemeliharaan Kebugaran,Kekuatan,45,352,59,Pria,Angkat Beban
197,97,Sedang,Penurunan Berat Badan,Fleksibilitas,44,292,34,Wanita,Senam
187,92,Sedang,Peningkatan Massa Otot,Kekuatan,53,261,54,Pria,Angkat Beban
190,69,Tinggi,Penurunan Berat Badan,Kardio,54,394,45,Wanita,Lari
177,114,Tinggi,Peningkatan Massa Otot,Kardio,35,616,20,Pria,Bersepeda
192,46,Tinggi,Penurunan Berat Badan,Fleksibilitas,82,594,33,Pria,Senam
148,86,Rendah,Peningkatan Massa Otot,Fleksibilitas,90,456,32,Pria,Senam
169,55,Tinggi,Penurunan Berat Badan,Kardio,41,226,57,Pria,Lari
189,56,Sedang,Penurunan Berat Badan,Kekuatan,44,695,19,Pria,Angkat Beban
199,89,Tinggi,Pemeliharaan Kebugaran,Kekuatan,49,451,58,Pria,Angkat Beban
162,95,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,56,504,38,Wanita,Senam
189,103,Rendah,Penurunan Berat Badan,Kardio,31,169,60,Pria,Lari
182,109,Sedang,Penurunan Berat Badan,Kardio,66,163,46,Wanita,Lari
180,52,Sedang,Pemeliharaan Kebugaran,Kekuatan,53,302,18,Wanita,Angkat Beban
179,105,Sedang,Peningkatan Massa Otot,Kekuatan,32,495,50,Wanita,Angkat Beban
152,113,Rendah,Peningkatan Massa Otot,Kardio,81,574,36,Pria,Bersepeda
141,53,Rendah,Peningkatan Massa Otot,Kardio,30,570,44,Wanita,Bersepeda
144,50,Tinggi,Penurunan Berat Badan,Kekuatan,71,611,44,Pria,Angkat Beban
187,64,Rendah,Peningkatan Massa Otot,Fleksibilitas,56,161,31,Wanita,Senam
169,51,Rendah,Penurunan Berat Badan,Fleksibilitas,44,464,22,Wanita,Senam
179,54,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,60,192,22,Wanita,Senam
157,115,Tinggi,Pemeliharaan Kebugaran,Fleksibilitas,82,171,57,Wanita,Senam
192,107,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,74,673,24,Pria,Senam
182,115,Sedang,Peningkatan Massa Otot,Kekuatan,82,405,26,Wanita,Angkat Beban
144,120,Rendah,Pemeliharaan Kebugaran,Kardio,78,655,34,Wanita,Bersepeda
198,75,Rendah,Penurunan Berat Badan,Kekuatan,48,561,45,Pria,Angkat Beban
152,88,Sedang,Peningkatan Massa Otot,Kardio,51,349,25,Pria,Bersepeda
177,72,Tinggi,Pemeliharaan Kebugaran,Kardio,64,267,25,Pria,Bersepeda
194,42,Tinggi,Penurunan Berat Badan,Kekuatan,73,369,52,Pria,Angkat Beban
140,120,Tinggi,Pemeliharaan Kebugaran,Kekuatan,36,221,46,Pria,Angkat Beban
183,111,Tinggi,Peningkatan Massa Otot,Kekuatan,42,272,49,Pria,Angkat Beban
161,104,Sedang,Penurunan Berat Badan,Kardio,56,362,20,Wanita,Lari
167,117,Sedang,Penurunan Berat Badan,Fleksibilitas,43,203,55,Wanita,Senam
197,49,Tinggi,Peningkatan Massa Otot,Kekuatan,37,546,37,Wanita,Angkat Beban
177,105,Tinggi,Peningkatan Massa Otot,Kardio,57,651,35,Pria,Bersepeda
140,108,Sedang,Pemeliharaan Kebugaran,Kardio,62,302,56,Pria,Bersepeda
168,111,Rendah,Penurunan Berat Badan,Kekuatan,69,646,56,Pria,Angkat Beban
195,84,Tinggi,Pemeliharaan Kebugaran,Kekuatan,69,341,59,Wanita,Angkat Beban
196,69,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,90,341,36,Pria,Senam
200,66,Tinggi,Peningkatan Massa Otot,Kekuatan,45,534,30,Pria,Angkat Beban
191,40,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,34,312,26,Wanita,Senam
162,49,Tinggi,Peningkatan Massa Otot,Kardio,69,156,52,Pria,Bersepeda
198,119,Tinggi,Penurunan Berat Badan,Kekuatan,55,467,49,Wanita,Angkat Beban
140,76,Tinggi,Peningkatan Massa Otot,Fleksibilitas,87,541,48,Pria,Senam
187,83,Rendah,Peningkatan Massa Otot,Kardio,77,238,36,Pria,Bersepeda
164,111,Sedang,Peningkatan Massa Otot,Kardio,81,570,39,Wanita,Bersepeda
155,116,Rendah,Penurunan Berat Badan,Fleksibilitas,87,451,21,Wanita,Senam
175,88,Tinggi,Penurunan Berat Badan,Kardio,70,623,21,Wanita,Lari
194,66,Rendah,Peningkatan Massa Otot,Kardio,60,357,40,Pria,Bersepeda
185,105,Sedang,Pemeliharaan Kebugaran,Kardio,30,382,59,Wanita,Bersepeda
150,52,Rendah,Peningkatan Massa Otot,Kekuatan,49,267,19,Wanita,Angkat Beban
192,88,Sedang,Peningkatan Massa Otot,Fleksibilitas,39,190,48,Wanita,Senam
146,60,Tinggi,Pemeliharaan Kebugaran,Kekuatan,38,253,58,Pria,Angkat Beban
184,94,Rendah,Peningkatan Massa Otot,Kekuatan,39,335,21,Wanita,Angkat Beban
144,115,Rendah,Peningkatan Massa Otot,Kekuatan,72,348,29,Pria,Angkat Beban
149,53,Sedang,Pemeliharaan Kebugaran,Kardio,43,210,51,Pria,Bersepeda
195,85,Tinggi,Peningkatan Massa Otot,Fleksibilitas,34,372,18,Wanita,Senam
154,67,Sedang,Pemeliharaan Kebugaran,Kardio,48,377,57,Wanita,Bersepeda
164,99,Tinggi,Pemeliharaan Kebugaran,Kekuatan,70,461,26,Pria,Angkat Beban
142,110,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,76,693,56,Pria,Senam
183,91,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,36,408,20,Pria,Senam
173,89,Sedang,Peningkatan Massa Otot,Kekuatan,80,190,27,Wanita,Angkat Beban
156,112,Rendah,Peningkatan Massa Otot,Fleksibilitas,40,664,52,Wanita,Senam
170,56,Rendah,Penurunan Berat Badan,Kekuatan,76,289,35,Wanita,Angkat Beban
170,67,Rendah,Pemeliharaan Kebugaran,Kardio,80,679,53,Pria,Bersepeda
161,61,Tinggi,Penurunan Berat Badan,Kekuatan,60,292,42,Pria,Angkat Beban
145,74,Sedang,Peningkatan Massa Otot,Kardio,38,308,44,Pria,Bersepeda
173,47,Tinggi,Penurunan Berat Badan,Kekuatan,73,218,55,Wanita,Angkat Beban
194,112,Tinggi,Penurunan Berat Badan,Kardio,30,470,52,Wanita,Lari
166,77,Rendah,Pemeliharaan Kebugaran,Fleksibilitas,63,434,32,Wanita,Senam
161,82,Sedang,Pemeliharaan Kebugaran,Fleksibilitas,78,407,34,Pria,Senam
191,120,Tinggi,Penurunan Berat Badan,Kekuatan,31,563,42,Pria,Angkat Beban
169,115,Sedang,Penurunan Berat Badan,Kekuatan,72,182,39,Wanita,Angkat Beban
153,81,Sedang,Peningkatan Massa Otot,Kekuatan,74,165,27,Pria,Angkat Beban
155,62,Sedang,Penurunan Berat Badan,Fleksibilitas,64,499,37,Pria,Senam
148,79,Rendah,Penurunan Berat Badan,Kekuatan,82,351,39,Wanita,Angkat Beban
